center_x,center_y,label,orientation,avg_height,orig_index
18336,3250,house,90.0,200.9093780517578,386
18325,3242,cluster_houses,39.47246170043945,201.51693725585938,387
18238,3239,house,90.0,204.8924560546875,388
18088,3195,platform_large,65.224853515625,199.78475952148438,389
18362,3172,palace,90.0,193.16940307617188,390
18121,3159,palace_large,90.0,202.72898864746094,391
18229,3152,unknown_small_building,61.69924545288086,200.45864868164062,392
18072,3077,cluster_houses,90.0,210.81890869140625,393
18134,3010,palace,90.0,210.51531982421875,394
18112,3011,unknown_small_building,81.8698959350586,212.00454711914062,395
18153,3011,unknown_elongated_building,85.03025817871094,207.92381286621094,396
18143,2994,house,90.0,209.87210083007812,397
18362,2995,platform_large,39.80556869506836,208.9864044189453,398
18123,2993,platform_large,90.0,211.7489471435547,399
18277,2780,ruin_small,90.0,206.97215270996094,400
18175,2780,double_house,16.699243545532227,215.49473571777344,401
18137,2738,ruin_small,90.0,211.4111785888672,402
18715,2677,house,90.0,196.61758422851562,403
18014,2646,house,90.0,204.5789794921875,404
18562,2617,palace,90.0,215.853271484375,406
18471,2584,ruin_small,14.03624439239502,215.73538208007812,407
18811,2366,house,90.0,192.45411682128906,408
18540,2204,platform_large,90.0,195.47140502929688,409
19042,2152,house,90.0,175.67364501953125,410
18897,2117,palace,90.0,186.8656463623047,411
18116,2086,house,90.0,209.9110107421875,412
18282,2026,palace,90.0,207.87997436523438,413
18269,2013,palace,90.0,209.29989624023438,414
18286,2002,house,90.0,208.13294982910156,415
18822,1956,house,90.0,195.10166931152344,416
18808,1941,palace,90.0,195.4259796142578,417
18067,1830,platform_large,90.0,187.8165283203125,419
18387,1813,house,90.0,186.27288818359375,420
17954,1806,house,90.0,192.28497314453125,421
18473,1723,palace,90.0,182.3790283203125,422
18937,1714,house,90.0,186.25875854492188,423
18031,1707,platform_large,74.74488067626953,194.4602508544922,424
18040,1696,ruin_small,90.0,194.05413818359375,425
19444,1604,double_house,11.309932708740234,170.091064453125,426
18597,1573,house,90.0,175.39671325683594,427
19473,1509,house,90.0,173.03396606445312,429
19299,1514,platform_large,6.34019136428833,182.66705322265625,430
19523,1479,double_house,10.304845809936523,174.31643676757812,432
19504,1470,house,90.0,173.90480041503906,433
19542,1460,double_house,15.94539737701416,173.16957092285156,434
19504,1440,cluster_houses,86.3086166381836,176.77658081054688,435
19544,1428,house,90.0,174.75564575195312,436
19522,1416,house,90.0,175.59764099121094,437
19406,1385,platform_large,90.0,176.8013458251953,438
19392,1373,platform_large,90.0,175.86392211914062,439
19415,1367,house,90.0,174.89492797851562,440
19637,1356,double_house,14.931418418884277,172.00076293945312,441
19490,1343,house,90.0,171.6624755859375,442
19621,1339,house,90.0,172.478759765625,443
19660,1339,double_house,14.03624439239502,171.83279418945312,444
19632,1330,double_house,5.19442892074585,172.8986053466797,445
19489,1326,cluster_houses,90.0,170.62033081054688,446
19648,1317,platform_small,9.462323188781738,172.18643188476562,447
19532,1288,house,90.0,169.50120544433594,448
19513,1286,house,90.0,169.49420166015625,449
19778,1227,unknown_large_building,14.03624439239502,163.04823303222656,451
19706,1190,double_house,90.0,171.26434326171875,452
18560,1050,house,90.0,150.24270629882812,453
18123,659,cluster_houses,75.96376037597656,174.1197967529297,454
19283,619,house,90.0,169.1534423828125,455
18259,581,platform_large,56.3099365234375,163.91575622558594,456
19257,297,platform_large,90.0,150.4310302734375,457
19682,210,palace,90.0,174.38111877441406,458
18572,147,unknown_elongated_building,7.85331392288208,227.86508178710938,459
20617,2204,ruin_small,90.0,112.51213073730469,462
20578,2198,house,90.0,112.3830337524414,463
20610,2191,house,90.0,112.93080139160156,464
20634,2191,platform_large,72.6459732055664,112.87730407714844,465
20570,2169,platform_large,4.763641834259033,112.9842758178711,466
20595,2159,house,90.0,113.3528823852539,467
20673,2168,cluster_houses,84.2894058227539,113.31242370605469,468
20584,2145,house,90.0,112.92285919189453,469
20552,2139,platform_large,90.0,113.15298461914062,470
20622,2132,ruin_small,90.0,113.09337615966797,471
20815,2137,unknown_large_building,90.0,113.7687759399414,472
20737,2125,unknown_small_building,40.91438674926758,113.7346420288086,473
20908,2130,unknown_elongated_building,90.0,113.37724304199219,475
20680,2111,house,90.0,113.63978576660156,476
20963,2120,unknown_elongated_building,76.60750579833984,113.57643127441406,477
20554,2103,house,90.0,113.17967987060547,478
21013,2093,platform_large,90.0,113.7977066040039,479
21039,2097,cluster_houses,41.987213134765625,113.88255310058594,480
20952,2059,platform_large,52.594642639160156,114.37533569335938,482
20857,2036,cluster_houses,51.34019088745117,114.96654510498047,483
20801,2033,palace,90.0,116.71607971191406,484
20778,2023,unknown_large_building,49.08561706542969,116.20442962646484,485
21028,1996,cluster_houses,48.36646270751953,115.01084899902344,486
20692,1959,ruin_small,90.0,115.45455932617188,487
21087,1956,ruin_small,90.0,114.29097747802734,488
20765,1954,house,90.0,116.56391906738281,489
20981,1952,palace,90.0,116.91944885253906,490
21401,1947,cluster_houses,41.423667907714844,111.72432708740234,491
21102,1933,house,90.0,114.4518051147461,492
20952,1935,cluster_houses,42.397438049316406,116.3194580078125,493
21066,1907,house,90.0,114.85420227050781,494
20883,1909,house,90.0,116.292236328125,495
20866,1908,house,90.0,115.92475128173828,496
21034,1906,platform_large,45.0,115.34650421142578,497
21478,1904,unknown_large_building,12.528807640075684,110.51239013671875,498
21452,1883,house,75.96376037597656,110.71690368652344,499
21176,1885,cluster_houses,5.710593223571777,114.08224487304688,500
21275,1870,house,90.0,113.60079193115234,501
20913,1860,ruin_small,90.0,116.78495788574219,502
20828,1855,ruin_small,90.0,116.79991912841797,503
21044,1866,cluster_houses,10.885526657104492,115.60503387451172,504
